feature_set,held_out,n_test,wc_vs_human_acc,majority_baseline_acc,majority_baseline_class,operator_acc,hybrid_acc,operator_acc_boundary,n_operator_fires,fire_precision_vs_human
all27,Wuhan,150,0.41333333333333333,0.5333333333333333,1,0.7133333333333334,0.48,0.7419354838709677,18,0.7777777777777778
all27,Hefei,150,0.5066666666666667,0.6266666666666667,1,0.6733333333333333,0.5733333333333334,0.6814814814814815,28,0.6785714285714286
all27,Nanchang,150,0.46,0.6466666666666666,1,0.7266666666666667,0.5066666666666667,0.8090909090909091,11,0.8181818181818182
all27,Nanjing,150,0.32,0.5466666666666666,1,0.74,0.4066666666666667,0.775,15,0.9333333333333333
all27,Changsha,150,0.5066666666666667,0.5533333333333333,1,0.7466666666666667,0.5933333333333334,0.7850467289719626,18,0.8333333333333334
all27,Hangzhou,150,0.5933333333333334,0.5333333333333333,1,0.7533333333333333,0.6533333333333333,0.7701149425287356,11,0.9090909090909091
transfer15,Wuhan,150,0.41333333333333333,0.5333333333333333,1,0.6733333333333333,0.49333333333333335,0.7016129032258065,18,0.8333333333333334
transfer15,Hefei,150,0.5066666666666667,0.6266666666666667,1,0.62,0.6066666666666667,0.6296296296296297,25,0.8
transfer15,Nanchang,150,0.46,0.6466666666666666,1,0.6866666666666666,0.52,0.7454545454545455,15,0.8
transfer15,Nanjing,150,0.32,0.5466666666666666,1,0.72,0.38666666666666666,0.775,14,0.8571428571428571
transfer15,Changsha,150,0.5066666666666667,0.5533333333333333,1,0.7066666666666667,0.58,0.7663551401869159,14,0.8571428571428571
transfer15,Hangzhou,150,0.5933333333333334,0.5333333333333333,1,0.7266666666666667,0.64,0.7701149425287356,9,0.8888888888888888
